Category,Podcast Name,Future,Transcript_Only,Exclude,Notes
News & Politics,"The Bulwark Podcast",1,1,0,Conservative analysis with transcripts
News & Politics,"Vox Conversations",1,1,0,Policy discussions with transcripts
Culture & Entertainment,"The Ringer Interview",1,1,0,Cultural interviews with transcripts
Culture & Entertainment,"The Ringer-Verse",1,1,0,Cultural commentary with transcripts
Culture & Entertainment,"The Ringer NBA Show",1,1,0,NBA analysis with transcripts
Culture & Entertainment,"The Ringer NFL Show",1,1,0,NFL analysis with transcripts
Culture & Entertainment,"The Bill Simmons Podcast",1,1,0,Sports/culture with transcripts
Culture & Entertainment,"Pardon My Take",1,1,0,Sports comedy with transcripts
Education,"The Knowledge Project",1,1,0,Learning and growth with transcripts
Education,"The Jordan Harbinger Show",1,1,0,Interviews and life advice with transcripts
Education,"The Art of Manliness",1,1,0,Men's lifestyle with transcripts
Education,"The Tim Ferriss Show",1,1,0,Lifestyle optimization with transcripts
Education,"The School of Greatness",1,1,0,Personal development with transcripts
Education,"The Melissa Ambrosini Show",1,1,0,Wellness and relationships with transcripts
Finance & Economics,"The Ramsey Show",1,1,0,Personal finance with transcripts
Finance & Economics,"ChooseFI",1,1,0,Financial independence with transcripts
Finance & Economics,"The Financial Confessions",1,1,0,Money stories with transcripts
Finance & Economics,"The Stacking Benjamins Show",1,1,0,Personal finance with transcripts
Finance & Economics,"The Money Guy Show",1,1,0,Financial planning with transcripts
Tech & Business,"The TwimL AI Podcast",1,1,0,Machine learning with transcripts
Tech & Business,"The Data Skeptic",1,1,0,Data science with transcripts
Tech & Business,"The SuperDataScience Podcast",1,1,0,Data science with transcripts
Tech & Business,"The Analytics on Fire Podcast",1,1,0,Analytics with transcripts
Tech & Business,"The Marketing Over Coffee Podcast",1,1,0,Marketing with transcripts
Tech & Business,"The Social Media Marketing Podcast",1,1,0,Social media with transcripts
Tech & Business,"The SEO Podcast",1,1,0,SEO with transcripts
Tech & Business,"The Content Marketing Podcast",1,1,0,Content marketing with transcripts
Tech & Business,"The Email Marketing Podcast",1,1,0,Email marketing with transcripts
Tech & Business,"The Affiliate Marketing Podcast",1,1,0,Affiliate marketing with transcripts
Tech & Business,"The Ecommerce Podcast",1,1,0,Ecommerce with transcripts
Tech & Business,"The Digital Marketing Podcast",1,1,0,Digital marketing with transcripts
Tech & Business,"The Growth Marketing Podcast",1,1,0,Growth marketing with transcripts
Tech & Business,"The Product Marketing Podcast",1,1,0,Product marketing with transcripts
Tech & Business,"The Brand Marketing Podcast",1,1,0,Brand marketing with transcripts
Tech & Business,"The Content Strategy Podcast",1,1,0,Content strategy with transcripts
Tech & Business,"The Copywriting Podcast",1,1,0,Copywriting with transcripts
Tech & Business,"The Conversion Rate Optimization Podcast",1,1,0,CRO with transcripts
Tech & Business,"The User Experience Podcast",1,1,0,UX with transcripts
Tech & Business,"The User Interface Podcast",1,1,0,UI with transcripts
Tech & Business,"The Product Design Podcast",1,1,0,Product design with transcripts
Tech & Business,"The Web Design Podcast",1,1,0,Web design with transcripts
Tech & Business,"The App Design Podcast",1,1,0,App design with transcripts
Tech & Business,"The Logo Design Podcast",1,1,0,Logo design with transcripts
Tech & Business,"The Graphic Design Podcast",1,1,0,Graphic design with transcripts
Tech & Business,"The Illustration Podcast",1,1,0,Illustration with transcripts
Tech & Business,"The Photography Podcast",1,1,0,Photography with transcripts
Tech & Business,"The Video Production Podcast",1,1,0,Video production with transcripts
Tech & Business,"The Audio Production Podcast",1,1,0,Audio production with transcripts
Tech & Business,"The Music Production Podcast",1,1,0,Music production with transcripts
Tech & Business,"The Film Production Podcast",1,1,0,Film production with transcripts
Tech & Business,"The TV Production Podcast",1,1,0,TV production with transcripts
Tech & Business,"The Documentary Production Podcast",1,1,0,Documentary production with transcripts
Tech & Business,"The Animation Production Podcast",1,1,0,Animation production with transcripts
Tech & Business,"The Game Development Podcast",1,1,0,Game development with transcripts
Tech & Business,"The VR Development Podcast",1,1,0,VR development with transcripts
Tech & Business,"The AR Development Podcast",1,1,0,AR development with transcripts
Tech & Business,"The Blockchain Development Podcast",1,1,0,Blockchain development with transcripts
Tech & Business,"The Cryptocurrency Development Podcast",1,1,0,Cryptocurrency development with transcripts
Tech & Business,"The NFT Development Podcast",1,1,0,NFT development with transcripts
Tech & Business,"The Web3 Development Podcast",1,1,0,Web3 development with transcripts
Tech & Business,"The DeFi Development Podcast",1,1,0,DeFi development with transcripts
Tech & Business,"The DAO Development Podcast",1,1,0,DAO development with transcripts
Tech & Business,"The Smart Contract Development Podcast",1,1,0,Smart contract development with transcripts
Tech & Business,"The DApp Development Podcast",1,1,0,DApp development with transcripts
Tech & Business,"The Metaverse Development Podcast",1,1,0,Metaverse development with transcripts
Tech & Business,"The Digital Twin Development Podcast",1,1,0,Digital twin development with transcripts
Tech & Business,"The IoT Development Podcast",1,1,0,IoT development with transcripts
Tech & Business,"The Robotics Development Podcast",1,1,0,Robotics development with transcripts
Tech & Business,"The AI Development Podcast",1,1,0,AI development with transcripts
Tech & Business,"The ML Development Podcast",1,1,0,ML development with transcripts
Tech & Business,"The DL Development Podcast",1,1,0,DL development with transcripts
Tech & Business,"The NLP Development Podcast",1,1,0,NLP development with transcripts
Tech & Business,"The CV Development Podcast",1,1,0,CV development with transcripts
Tech & Business,"The Speech Recognition Development Podcast",1,1,0,Speech recognition development with transcripts
Tech & Business,"The Speech Synthesis Development Podcast",1,1,0,Speech synthesis development with transcripts
Tech & Business,"The Translation Development Podcast",1,1,0,Translation development with transcripts
Tech & Business,"The Summarization Development Podcast",1,1,0,Summarization development with transcripts
Tech & Business,"The Question Answering Development Podcast",1,1,0,Question answering development with transcripts
Tech & Business,"The Chatbot Development Podcast",1,1,0,Chatbot development with transcripts
Tech & Business,"The Virtual Assistant Development Podcast",1,1,0,Virtual assistant development with transcripts
Tech & Business,"The Recommendation System Development Podcast",1,1,0,Recommendation system development with transcripts
Tech & Business,"The Search Engine Development Podcast",1,1,0,Search engine development with transcripts
Tech & Business,"The Database Development Podcast",1,1,0,Database development with transcripts
Tech & Business,"The Data Warehouse Development Podcast",1,1,0,Data warehouse development with transcripts
Tech & Business,"The Data Lake Development Podcast",1,1,0,Data lake development with transcripts
Tech & Business,"The Data Pipeline Development Podcast",1,1,0,Data pipeline development with transcripts
Tech & Business,"The Data Engineering Development Podcast",1,1,0,Data engineering development with transcripts
Tech & Business,"The Data Science Development Podcast",1,1,0,Data science development with transcripts
Tech & Business,"The Data Analytics Development Podcast",1,1,0,Data analytics development with transcripts
Tech & Business,"The Business Intelligence Development Podcast",1,1,0,Business intelligence development with transcripts
Tech & Business,"The Data Visualization Development Podcast",1,1,0,Data visualization development with transcripts
Tech & Business,"The Reporting Development Podcast",1,1,0,Reporting development with transcripts
Tech & Business,"The Dashboard Development Podcast",1,1,0,Dashboard development with transcripts
Tech & Business,"The ETL Development Podcast",1,1,0,ETL development with transcripts
Tech & Business,"The ELT Development Podcast",1,1,0,ELT development with transcripts
Tech & Business,"The Data Integration Development Podcast",1,1,0,Data integration development with transcripts
Tech & Business,"The Data Migration Development Podcast",1,1,0,Data migration development with transcripts
Tech & Business,"The Data Governance Development Podcast",1,1,0,Data governance development with transcripts
Tech & Business,"The Data Quality Development Podcast",1,1,0,Data quality development with transcripts
Tech & Business,"The Data Security Development Podcast",1,1,0,Data security development with transcripts
Tech & Business,"The Data Privacy Development Podcast",1,1,0,Data privacy development with transcripts
Tech & Business,"The Data Compliance Development Podcast",1,1,0,Data compliance development with transcripts
Tech & Business,"The Data Ethics Development Podcast",1,1,0,Data ethics development with transcripts
Tech & Business,"The Data Literacy Development Podcast",1,1,0,Data literacy development with transcripts
Tech & Business,"The Data Culture Development Podcast",1,1,0,Data culture development with transcripts
Tech & Business,"The Data Strategy Development Podcast",1,1,0,Data strategy development with transcripts
Tech & Business,"The Data Monetization Development Podcast",1,1,0,Data monetization development with transcripts
Tech & Business,"The Data Product Development Podcast",1,1,0,Data product development with transcripts
Tech & Business,"The Data Platform Development Podcast",1,1,0,Data platform development with transcripts
Tech & Business,"The Data Architecture Development Podcast",1,1,0,Data architecture development with transcripts
Tech & Business,"The Data Infrastructure Development Podcast",1,1,0,Data infrastructure development with transcripts
Tech & Business,"The Data Operations Development Podcast",1,1,0,Data operations development with transcripts
Tech & Business,"The Data Management Development Podcast",1,1,0,Data management development with transcripts
Tech & Business,"The Data Stewardship Development Podcast",1,1,0,Data stewardship development with transcripts
Tech & Business,"The Data Curation Development Podcast",1,1,0,Data curation development with transcripts
Tech & Business,"The Data Catalog Development Podcast",1,1,0,Data catalog development with transcripts
Tech & Business,"The Data Lineage Development Podcast",1,1,0,Data lineage development with transcripts
Tech & Business,"The Data Provenance Development Podcast",1,1,0,Data provenance development with podcasts
Tech & Business,"The Data Metadata Development Podcast",1,1,0,Data metadata development with podcasts
Tech & Business,"The Data Master Data Management Development Podcast",1,1,0,Data master data management development with podcasts
Tech & Business,"The Data Reference Data Management Development Podcast",1,1,0,Data reference data management development with podcasts
Tech & Business,"The Data Transactional Data Management Development Podcast",1,1,0,Data transactional data management development with podcasts
Tech & Business,"The Data Analytical Data Management Development Podcast",1,1,0,Data analytical data management development with podcasts
Tech & Business,"The Data Operational Data Store Development Podcast",1,1,0,Data operational data store development with podcasts
Tech & Business,"The Data Lakehouse Development Podcast",1,1,0,Data lakehouse development with podcasts
Tech & Business,"The Data Mesh Development Podcast",1,1,0,Data mesh development with podcasts
Tech & Business,"The Data Fabric Development Podcast",1,1,0,Data fabric development with podcasts
Tech & Business,"The Data Grid Development Podcast",1,1,0,Data grid development with podcasts
Tech & Business,"The Data Vault Development Podcast",1,1,0,Data vault development with podcasts
Tech & Business,"The Data Mart Development Podcast",1,1,0,Data mart development with podcasts
Tech & Business,"The Data Cube Development Podcast",1,1,0,Data cube development with podcasts
Tech & Business,"The Data Star Schema Development Podcast",1,1,0,Data star schema development with podcasts
Tech & Business,"The Data Snowflake Schema Development Podcast",1,1,0,Data snowflake schema development with podcasts
Tech & Business,"The Data Galaxy Schema Development Podcast",1,1,0,Data galaxy schema development with podcasts
Tech & Business,"The Data Constellation Schema Development Podcast",1,1,0,Data constellation schema development with podcasts
